headline,cluster
"Syntel, Inc. Reports Q1 EPS of $1.11 vs $1.03 Est; Revenue of $189.10M vs $187.99M Est",1
Mid-Day Market Update: K2M Group Rises On Acquisition News; Tech Data Shares Plunge,3
Aramchol's Failed Past Isn't Its Future; Galmed Gets An Upgrade,3
60 Stocks Moving In Thursday's Mid-Day Session,4
Anheuser-Busch shares are trading lower after the company said it is not proceeding with its public offering of its minority stake in APAC subsidiary.,3
The Market In 5 Minutes: Don't Stop Me Now,3
"Hawaiian Electric Industries, Inc. Reports Q3 EPS of $0.48 vs $0.51 Est; Revenue of $831.20M vs $907.62M Est",1
Valuation Flies Higher On Macquarie Infrastructure Co.,5
DISH Network Reports Q2 EPS $0.75 vs $0.79 Est; Revenues $3.59B vs $3.41B Est,1
21st Century Fox Rejected Higher Offer From Comcast Before Accepting Disney Bid,8
"Pete Najarian Sees Unusual Options Activity In ASHR, QQQ And Nike",3
First Solar Spikes to High of Day,8
Dumbest of This Week's 5 Dumbest: Sears Signs on the Kardashians,0
Option Alert: Verifone Feb 19.0 Calls Sweep: 1106 @ ASK $0.697: 1111 traded vs 675 OI: Earnings 3/9 After Close (est) $18.71 Ref,8
Mid-Afternoon Market Update: Crude Oil Up Over 1%; Lexicon Pharmaceuticals Shares Plunge,3
Wunderlich's MLP Weekly Update: Pain Then Pleasure,3
"Earnings Scheduled For November 11, 2016",3
"Credit Suisse Maintains Outperform on Sina Corporation, Lowers PT to $76.00",5
"Bank of America Positive on MOH, CNC, AGP, UNH, CI",2
Global Sources Ltd. Reports Q2 IFRS EPS of $0.46 vs $0.43 Est; Revenue of $61.40M vs $58.98M Est,1
Whiting Petroleum Stockholders Approve Acquisition of Kodiak Oil & Gas,2
"SunTrust Robinson Humphrey Initiates Coverage on Jazz Pharmaceuticals plc at Neutral, Announces $158.00 PT",5
How to Profit From Japanese Protests Against Nuclear Power,3
"Earnings Scheduled For March 28, 2017",3
"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 18, 2018",0
Shares of several basic materials companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth.,3
New 52-Week Low Achievers For Wednesday Morning,9
Benzinga's Volume Movers,5
Mackie Research Upgraded Newmont Mining to Buy,5
MGI Sues Illumina For Patent Infringement In United States,2
"UPDATE: JP Morgan Upgrades TreeHouse Food To Overweight, Announces $45 Target As Firm Increasingly Believes 'COVID-19 will benefit the company, at least in the near-term'",5
