publisher,publisher_cleaned,dominant_topic
Lisa Levin,lisa levin,4
Elizabeth Balboa,elizabeth balboa,1
Lisa Levin,lisa levin,4
Benzinga Newsdesk,benzinga newsdesk,1
Benzinga News Desk,benzinga news desk,1
Paul Quintaro,paul quintaro,3
Benzinga Staff,benzinga staff,1
Eddie Staley,eddie staley,3
Paul Quintaro,paul quintaro,3
Craig Jones,craig jones,3
Charles Gross,charles gross,3
webmaster,webmaster,4
Charles Gross,charles gross,3
Lisa Levin,lisa levin,4
Benzinga Staff,benzinga staff,1
Lisa Levin,lisa levin,4
Juan Lopez,juan lopez,1
Juan Lopez,juan lopez,1
Charles Gross,charles gross,3
Hal Lindon,hal lindon,4
Paul Quintaro,paul quintaro,3
Daniel Hayden IV,daniel hayden iv,3
Lisa Levin,lisa levin,4
Benzinga Newsdesk,benzinga newsdesk,1
Benzinga Newsdesk,benzinga newsdesk,1
Lisa Levin,lisa levin,4
Lisa Levin,lisa levin,4
Paul Quintaro,paul quintaro,3
Benzinga Newsdesk,benzinga newsdesk,1
Benzinga_Newsdesk,benzinga_newsdesk,0
Benzinga Staff,benzinga staff,1
Dwight Einhorn,dwight einhorn,2
Wayne Duggan,wayne duggan,1
Hal Lindon,hal lindon,4
Eddie Staley,eddie staley,3
Lisa Levin,lisa levin,4
Hal Lindon,hal lindon,4
Chris Dier-Scalise,chris dier-scalise,4
Jake L'Ecuyer,jake l'ecuyer,0
Charles Gross,charles gross,3
Hal Lindon,hal lindon,4
Benzinga Newsdesk,benzinga newsdesk,1
Charles Gross,charles gross,3
Craig Jones,craig jones,3
Eddie Staley,eddie staley,3
webmaster,webmaster,4
Paul Quintaro,paul quintaro,3
Benzinga Newsdesk,benzinga newsdesk,1
Monica Gerson,monica gerson,0
Juan Lopez,juan lopez,1
Vick Meyer,vick meyer,2
Charles Gross,charles gross,3
Shanthi Rexaline,shanthi rexaline,1
Juan Lopez,juan lopez,1
Paul Quintaro,paul quintaro,3
Eddie Staley,eddie staley,3
Wayne Duggan,wayne duggan,1
Lisa Levin,lisa levin,4
Matthew Kennedy,matthew kennedy,3
Roger Nachman,roger nachman,4
Lisa Levin,lisa levin,4
Benzinga Staff,benzinga staff,1
Lisa Levin,lisa levin,4
Benzinga_Newsdesk,benzinga_newsdesk,0
Charles Gross,charles gross,3
Lisa Levin,lisa levin,4
Paul Quintaro,paul quintaro,3
webmaster,webmaster,4
Paul Quintaro,paul quintaro,3
Brett Hershman,brett hershman,2
Paul Quintaro,paul quintaro,3
Allie Wickman,allie wickman,2
Paul Quintaro,paul quintaro,3
John Seward,john seward,1
Monica Gerson,monica gerson,0
Eddie Staley,eddie staley,3
ETF Professor,etf professor,2
Paul Quintaro,paul quintaro,3
Lisa Levin,lisa levin,4
Benzinga Newsdesk,benzinga newsdesk,1
ETF Professor,etf professor,2
Paul Quintaro,paul quintaro,3
ETF Professor,etf professor,2
Paul Quintaro,paul quintaro,3
Nelson Hem,nelson hem,2
Lisa Levin,lisa levin,4
Paul Quintaro,paul quintaro,3
Allie Wickman,allie wickman,2
Charles Gross,charles gross,3
Benzinga Newsdesk,benzinga newsdesk,1
Charles Gross,charles gross,3
Joel Elconin,joel elconin,0
Garrett Cook,garrett cook,1
Charles Gross,charles gross,3
Lisa Levin,lisa levin,4
Paul Quintaro,paul quintaro,3
